col1,frequency,frequency_error,id,source_id,asassn_name,other_names,raj2000,dej2000,l,b,mean_vmag,amplitude,period,variable_type,class_probability,lksl_statistic,rfr_score,epoch_hjd,gdr2_id,phot_g_mean_mag,e_phot_g_mean_mag,phot_bp_mean_mag,e_phot_bp_mean_mag,phot_rp_mean_mag,e_phot_rp_mean_mag,bp_rp,parallax,parallax_error,parallax_over_error,pmra,pmra_error,pmdec,pmdec_error,vt,dist,allwise_id,j_mag,e_j_mag,h_mag,e_h_mag,k_mag,e_k_mag,w1_mag,e_w1_mag,w2_mag,e_w2_mag,w3_mag,e_w3_mag,w4_mag,e_w4_mag,j_k,w1_w2,w3_w4,apass_dr9_id,apass_vmag,e_apass_vmag,apass_bmag,e_apass_bmag,apass_gpmag,e_apass_gpmag,apass_rpmag,e_apass_rpmag,apass_ipmag,e_apass_ipmag,b_v,e_b_v,vector_x,vector_y,vector_z,reference,periodic,classified,asassn_discovery,created_at,updated_at,edr3_source_id,galex_id,fuvmag,e_fuvmag,nuvmag,e_nuvmag,tic_id,pm,ruwe,solution_id_gedr3,designation_gedr3,source_id_gedr3,random_index_gedr3,ref_epoch_gedr3,ra_gedr3,ra_error_gedr3,dec_gedr3,dec_error_gedr3,parallax_gedr3,parallax_error_gedr3,parallax_over_error_gedr3,pm_gedr3,pmra_gedr3,pmra_error_gedr3,pmdec_gedr3,pmdec_error_gedr3,ra_dec_corr_gedr3,ra_parallax_corr_gedr3,ra_pmra_corr_gedr3,ra_pmdec_corr_gedr3,dec_parallax_corr_gedr3,dec_pmra_corr_gedr3,dec_pmdec_corr_gedr3,parallax_pmra_corr_gedr3,parallax_pmdec_corr_gedr3,pmra_pmdec_corr_gedr3,astrometric_n_obs_al_gedr3,astrometric_n_obs_ac_gedr3,astrometric_n_good_obs_al_gedr3,astrometric_n_bad_obs_al_gedr3,astrometric_gof_al_gedr3,astrometric_chi2_al_gedr3,astrometric_excess_noise_gedr3,astrometric_excess_noise_sig_gedr3,astrometric_params_solved_gedr3,astrometric_primary_flag_gedr3,nu_eff_used_in_astrometry_gedr3,pseudocolour_gedr3,pseudocolour_error_gedr3,ra_pseudocolour_corr_gedr3,dec_pseudocolour_corr_gedr3,parallax_pseudocolour_corr_gedr3,pmra_pseudocolour_corr_gedr3,pmdec_pseudocolour_corr_gedr3,astrometric_matched_transits_gedr3,visibility_periods_used_gedr3,astrometric_sigma5d_max_gedr3,matched_transits_gedr3,new_matched_transits_gedr3,matched_transits_removed_gedr3,ipd_gof_harmonic_amplitude_gedr3,ipd_gof_harmonic_phase_gedr3,ipd_frac_multi_peak_gedr3,ipd_frac_odd_win_gedr3,ruwe_gedr3,scan_direction_strength__gedr3,scan_direction_strength_k2_gedr3,scan_direction_strength_k3_gedr3,scan_direction_strength_k4_gedr3,scan_direction_mean__gedr3,scan_direction_mean_k2_gedr3,scan_direction_mean_k3_gedr3,scan_direction_mean_k4_gedr3,duplicated_source_gedr3,phot_g_n_obs_gedr3,phot_g_mean_flux_gedr3,phot_g_mean_flux_error_gedr3,phot_g_mean_flux_over_error_gedr3,phot_g_mean_mag_gedr3,phot_bp_n_obs_gedr3,phot_bp_mean_flux_gedr3,phot_bp_mean_flux_error_gedr3,phot_bp_mean_flux_over_error_gedr3,phot_bp_mean_mag_gedr3,phot_rp_n_obs_gedr3,phot_rp_mean_flux_gedr3,phot_rp_mean_flux_error_gedr3,phot_rp_mean_flux_over_error_gedr3,phot_rp_mean_mag_gedr3,phot_bp_n_contaminated_transits_gedr3,phot_bp_n_blended_transits_gedr3,phot_rp_n_contaminated_transits_gedr3,phot_rp_n_blended_transits_gedr3,phot_proc_mode_gedr3,phot_bp_rp_excess_factor_gedr3,bp_rp_gedr3,bp_g_gedr3,g_rp_gedr3,dr2_radial_velocity_gedr3,dr2_radial_velocity_error_gedr3,dr2_rv_nb_transits_gedr3,dr2_rv_template_teff_gedr3,dr2_rv_template_logg_gedr3,dr2_rv_template_fe_h_gedr3,l_gedr3,b_gedr3,ecl_lon_gedr3,ecl_lat_gedr3,2MASS,RAJ2000_2mass,DEJ2000_2mass,errHalfMaj,errHalfMin,errPosAng,Jmag,Hmag,Kmag,e_Jmag,e_Hmag,e_Kmag,Qfl,Rfl,X,MeasureJD,angDist
0,0.002923810557639,2.67835096647E-4,f319db01-0e34-5eaa-8f8c-fe47f60a2a4a,109353,ASASSN-V J214504.57+124154.9,TU Peg,326.26904,12.69858,68.20765,-29.76293,11.8,4.37,324.7701717,M,1.0,0.09,0.96,2458009.93525,1.76720628583456998E18,7.973047,0.04705,11.795123,0.261526,6.322299,0.124413,5.472824,1.5796,0.0689,22.937,-7.151,0.074,-11.546,0.065,103.778563251541,620.30658,J214504.57+124154.6,2.684,0.234,1.766,0.16,1.277,0.18,-1.218,,-0.58,,-0.068,0.272,-0.646,0.007,1.407,-0.638,0.578,9683229.0,12.407,0.551,13.124,1.739,12.79,1.677,10.911,0.536,9.034,0.86,0.717,0.116,0.811311920419447,-0.541711403102429,0.219822026953864,The ASAS-SN Catalog of Variable Stars: II,true,true,false,2019-04-16 09:55:18 UTC,2021-08-05 16:58:19 UTC,1.76720628583456998E18,GALEX J214504.5+124155,,,20.9418,0.1531,TIC 301931358,13.582,1.127,1.63604251580511002E18,Gaia EDR3 1767206285834574464,1.76720628583456998E18,110256725,2016,326.269131618027,0.05840844,12.6985547934351,0.051413216,1.57955668667214,0.06886505,22.936985,13.581666,-7.15127081407946,0.07398617,-11.5464701443024,0.06507571,0.060312446,0.2188102,0.12828618,-0.21635844,-0.13423559,-0.23477563,-0.5327545,-0.10889495,0.100464635,0.08942067,295,295,295,0,3.01848,7420.9688,0.5470653,236.8126,31,false,1.1178983,,,,,,,,33,16,0.10589371,34,17,4,0.13299091,62.184814,6,0,1.1267221,,,,,,,,,false,293,1.21822599028898E7,527006.7,23.11595,7.9730473,31,261437.309973582,62970.066,4.151771,11.795123,32,2.34551753735205E7,2686445.8,8.730932,6.322299,0,31,0,0,0,1.9468155,5.472824,3.8220758,1.6507483,,,0,,,,68.2076876430559,-29.7630109543641,333.214319611384,24.6555506743077,21450460+1241550,326.269187,12.698635,0.29,0.29,0.0,2.684,1.766,1.277,0.234,0.16,0.18,DCC,333,0,2451081.7652,0.552923
2,0.006572780553625,3.10041888516E-4,137799dc-93bf-56b4-9290-b70800c2445d,180029,ASASSN-V J181636.93+034135.6,RY Oph,274.15387,3.69321,32.26134,9.42744,10.34,4.08,151.5739398,M,1.0,0.16,0.92,2457926.99255,4.4703901199128003E18,8.889274,0.014103,12.647818,0.093905,7.313901,0.023027,5.333917,1.3235,0.0555,23.8541,1.508,0.055,17.96,0.052,115.83074168891,737.541321,J181636.94+034135.4,4.198,0.28,3.189,0.22,2.703,0.274,1.192,,0.624,,1.555,0.031,1.025,0.021,1.495,0.568,0.53,3.4413523E7,10.916,1.001,12.084,1.006,11.312,1.032,11.159,0.0,,,1.167,0.343,0.072284786070149,-0.99530183374547,0.064414046959485,The ASAS-SN Catalog of Variable Stars: II,true,true,false,2019-04-16 09:57:04 UTC,2021-08-05 18:15:33 UTC,4.4703901199128003E18,,,,,,TIC 19672276,18.023,0.829,1.63604251580511002E18,Gaia EDR3 4470390119912801920,4.4703901199128003E18,668543264,2016,274.15390773375,0.043257933,3.69323049020201,0.04070054,1.32354112393148,0.055484798,23.854122,18.022839,1.50787735514514,0.054517113,17.9596499426848,0.051787384,-0.08208791,0.19868363,-0.24752533,-0.25151867,-0.26772103,-0.35859746,-0.5283275,0.021603301,0.18670383,0.24292299,418,418,418,0,-5.045361,8768.543,0.46270683,228.48701,31,false,1.1254137,,,,,,,,48,17,0.086887754,49,32,1,0.4149651,113.335464,1,0,0.82893234,,,,,,,,,true,289,5238865.9414901,66740.22,78.49638,8.889274,29,119203.716233555,10305.349,11.56717,12.647818,29,9410178.59159764,196866.6,47.799774,7.313901,0,29,0,0,0,1.8189781,5.3339167,3.758544,1.5753727,,,0,,,,32.2613724668652,9.42741831065198,274.656131419947,27.065397346994,18163694+0341352,274.153929,3.693134,0.29,0.29,0.0,4.198,3.189,2.703,0.28,0.22,0.274,DDD,333,0,2451379.6655,0.346098
3,0.003882195,1.004272515E-4,b818a690-4388-5fbf-9bef-8342d4fe39d6,410105,ASASSN-V J090341.78-423021.1,HN Vel,135.92408,-42.50586,264.71858,2.85846,12.8999996185303,4.03999996185303,254.6914179,M,1.0,0.019999999552965,0.990000009536743,2457847.72489,5.4280588721868001E18,9.219885,0.033645,13.536338,0.213289,7.683164,0.113444,5.853174,1.63189995288849,0.059599999338388,27.381799697876,2.9779999256134,0.057000000029802,5.56699991226196,0.061000000685453,49.613771609599,603.176758,J090341.81-423020.8,4.10500001907349,0.298000007867813,2.95199990272522,0.236000001430511,2.31699991226196,0.273999989032745,-0.686999976634979,,-0.414000004529953,,0.250999987125397,0.11599999666214,-0.259999990463257,0.01799999922514,1.78799998760223,-0.273000001907349,0.510999977588654,4.2314881E7,11.9420003890991,1.00199997425079,13.4409999847412,0.990000009536743,12.1599998474121,0.006000000052154,,,,,1.49800002574921,1.48300004005432,-0.529624189443989,0.512810102588337,-0.675665610075825,The ASAS-SN Catalog of Variable Stars: II,true,true,false,2019-04-16 09:55:18 UTC,2021-08-05 17:03:11 UTC,5.4280588721868001E18,,,,,,TIC 447955042,6.31300020217896,0.824000000953674,1.63604251580511002E18,Gaia EDR3 5428058872186803456,5.4280588721868001E18,1719907567,2016,135.924045744338,0.044107337,-42.5057983900769,0.049536705,1.63192587401462,0.05959898,27.381777,6.3134136,2.97824893095428,0.057396505,5.56679647527974,0.060835883,0.08516787,0.06739325,-0.23885563,-0.06379179,0.014465517,-0.05085691,-0.16847076,0.10081159,-0.106304586,0.13321869,387,387,387,0,-4.983767,9812.857,0.61045325,316.43704,31,false,1.1082168,,,,,,,,44,26,0.0884422,49,18,2,0.23023279,140.69101,3,0,0.82440746,,,,,,,,,false,414,3863604.09788518,119323.625,32.379204,9.219885,44,52587.396497184,10329.716,5.090885,13.536338,43,6697191.13597678,699374.56,9.575972,7.6831636,0,10,0,0,0,1.7470161,5.853174,4.316453,1.5367212,,,0,,,,264.718511358696,2.85848289763049,159.148462903947,-55.4765931896181,09034177-4230208,135.924082,-42.505795,0.29,0.29,90.0,4.105,2.952,2.317,0.298,0.236,0.274,DDD,333,0,2451634.5787,0.23406
4,0.004601691681915,2.98620604398E-4,7e3f2c01-6eae-50f0-a8f4-31dc0cd17d10,55774,ASASSN-V J143711.59+264412.0,R Boo,219.29829,26.73668,38.07049,66.46915,9.22999954223633,4.32999992370606,225.379986,M,0.998000025749206,0.159999996423721,0.9200000166893,2456519.73875,1.2795546682552E18,7.789186,0.037869,11.3093,0.167575,6.159163,0.0926,5.150137,1.52040004730225,0.058600001037121,25.9370002746582,-25.5370006561279,0.050999999046326,11.9680004119873,0.059999998658895,209.577681417223,637.849609,J143711.59+264411.8,2.86400008201599,0.266000002622604,1.99600005149841,0.186000004410744,1.66100001335144,0.228000000119209,0.356000006198883,,0.172999992966652,,0.703999996185303,0.035999998450279,0.079000003635883,0.004999999888241,1.20299994945526,0.18299999833107,0.625,8019578.0,10.8990001678467,0.137999996542931,12.5609998703003,0.149000003933906,12.0600004196167,0.0,,,,,1.66199994087219,0.020999999716878,-0.691120849156445,-0.565641416448821,0.449890831045761,The ASAS-SN Catalog of Variable Stars: II,true,true,false,2019-04-16 09:57:04 UTC,2021-08-05 16:47:52 UTC,1.2795546682552E18,,,,,,TIC 157981215,28.2029991149902,1.04900002479553,1.63604251580511002E18,Gaia EDR3 1279554668255201152,1.2795546682552E18,889441424,2016,219.298106905132,0.039745573,26.736624363246,0.047501225,1.52043511362887,0.058620337,25.93699,28.202543,-25.5370772704793,0.05095401,11.9683384866305,0.060254373,0.05441341,-0.21467479,-0.16813897,-0.089093275,-0.15477107,-0.044911325,-0.31887385,-0.17282286,0.088034876,0.013508933,320,320,314,6,1.2436736,5331.7734,0.48706028,184.59402,31,false,1.1363657,,,,,,,,36,20,0.08544492,38,19,5,0.20014043,60.957157,4,0,1.0493463,,,,,,,,,false,332,1.44301983901107E7,501971.66,28.747038,7.789186,27,408974.822890736,63113.215,6.480019,11.3093,37,2.72579328957447E7,2322820.8,11.734841,6.159163,0,5,0,0,0,1.9172922,5.1501374,3.5201144,1.630023,,,0,,,,38.0702993469631,66.4693119322309,206.195582572047,39.6253214406223,14371158+2644116,219.298269,26.736557,0.31,0.29,0.0,2.864,1.996,1.661,0.266,0.186,0.228,DCD,333,0,2451266.9189,0.447918
7,0.003674407992653,2.08534815818E-4,b171eba4-f6b7-50f3-872d-83085ec13bc9,79224,ASASSN-V J200127.47+500231.8,Z Cyg,300.36444,50.04216,84.44202,10.22984,10.87,3.93,288.0622452,M,1.0,0.48,0.76,2457243.86562,2.08782778920957005E18,8.168296,0.034058,11.834373,0.156674,6.620668,0.084528,5.213705,1.1616,0.0495,23.4541,13.56,0.064,-9.028,0.059,92.6338881380789,833.568359,J200127.51+500232.6,4.176,0.268,3.258,0.228,2.557,0.306,0.67,,-0.082,,-0.024,0.057,-1.34,0.005,1.619,0.752,1.316,1.4352278E7,11.036,1.274,13.925,0.16,12.305,1.354,9.892,1.211,6.23,0.0,2.889,0.115,0.324643053797208,-0.554128361646832,0.766517218619269,The ASAS-SN Catalog of Variable Stars: II,true,true,false,2019-04-16 09:55:17 UTC,2021-08-05 16:51:51 UTC,2.08782778920957005E18,,,,,,TIC 351295966,16.291,1.166,1.63604251580511002E18,Gaia EDR3 2087827789209566720,2.08782778920957005E18,782376593,2016,300.364708719735,0.04890043,50.0423584701959,0.04841694,1.16160069338285,0.049526576,23.454088,16.29056,13.5602845248091,0.06418757,-9.0277905516587,0.059045736,-0.2334544,-0.20721638,-0.38346764,0.19115858,0.14366812,0.16499735,-0.28894073,-0.04154297,-0.16719173,-0.1709201,300,300,300,0,3.9538922,5310.82,0.5198109,194.6198,31,false,1.1444985,,,,,,,,34,22,0.09686528,37,17,6,0.19234467,120.70483,2,0,1.1659291,,,,,,,,,false,320,1.01772022890517E7,318200.66,31.983599,8.168296,28,252154.94570903,36380.7,6.931009,11.834373,37,1.78193070129357E7,1385904.1,12.8575325,6.6206684,0,0,0,0,0,1.7756808,5.213705,3.6660776,1.5476274,,,0,,,,84.4422776194727,10.2297958091402,327.919456483584,67.4710200819491,20012749+5002325,300.364573,50.042366,0.29,0.29,90.0,4.176,3.258,2.557,0.268,0.228,0.306,DDD,333,0,2451706.7832,0.802823
8,0.005175098989514,2.11947027896E-4,0893db23-bc75-47f0-a77f-c1043a98821c,14748050,ASASSN-V J194337.75+484641.5,RT Cyg,295.90731,48.77819,81.88433,12.15565,10.25,4.62,193.5157542,M,1.0,0.33,0.79,2457132.07483,2.13474560393567002E18,8.409807,0.048131,10.833418,0.246579,6.677016,0.120181,4.156402,0.9657,0.0417,23.1571,-10.9,0.058,12.805,0.048,79.8177203791034,998.623657,J194337.74+484641.3,4.68,0.278,3.814,0.224,3.131,0.27,2.336,,0.975,,1.976,0.013,1.507,0.019,1.549,1.361,0.469,1.474805E7,11.032,0.249,12.541,0.201,11.799,0.264,10.139,0.224,,,1.509,0.093,,,,The ASAS-SN Catalog of Variable Stars: IX,true,,false,2021-07-28 14:25:23 UTC,2021-08-05 16:36:30 UTC,2.13474560393567002E18,GALEX J194337.7+484642,,,19.5142,0.0769,TIC 27647239,16.816,1.152,1.63604251580511002E18,Gaia EDR3 2134745603935667200,2.13474560393567002E18,1107587389,2016,295.907286534453,0.038804434,48.7782051275852,0.0359384,0.965687483452317,0.041701626,23.15707,16.81625,-10.9000965700314,0.058295984,12.8052384717698,0.047631346,0.015810575,0.010809391,-0.096628025,0.045789428,0.20254765,0.065998934,-0.12821393,0.05177789,-0.23599572,-0.014360874,297,297,296,1,3.6024044,4036.5576,0.41768715,126.892624,31,false,1.1640167,,,,,,,,34,24,0.08076618,37,13,6,0.72742945,6.490089,0,0,1.1517804,,,,,,,,,false,307,8147491.13556645,360591.7,22.594784,8.409807,30,633942.557369237,143963.98,4.40348,10.833418,34,1.69181040349755E7,1871748.2,9.038664,6.6770163,0,0,0,0,0,2.1542885,4.1564016,2.4236107,1.732791,,,0,,,,81.8843272667575,12.1556732463052,319.645381389469,67.8013667414549,19433776+4846413,295.907346,48.778149,0.29,0.29,0.0,4.68,3.814,3.131,0.278,0.224,0.27,DDD,333,0,2450990.897,0.170527
11,0.004201719084876,1.36715924118E-4,a13e7dd8-9fe9-5806-96c3-5e4984f69983,259636,ASASSN-V J222900.88+401855.9,S Lac,337.25366,40.31553,95.58861,-14.87541,10.26,4.63,241.5471238,M,0.999,0.07,0.97,2457131.13356,1.90929672324996992E18,8.16615,0.015469,11.832723,0.084253,6.545105,0.042241,5.287618,1.2542,0.0523,23.9909,-7.629,0.034,-3.553,0.045,51.2517849220429,778.330444,J222900.90+401855.6,3.562,0.232,2.866,0.172,2.257,0.258,-0.576,,-0.349,,0.571,0.038,0.15,0.008,1.305,-0.227,0.421,1.1467019E7,10.04,0.662,11.639,0.634,10.971,0.53,9.78,1.425,7.372,0.856,1.599,0.15,0.70319061007778,-0.294819478683082,0.646996476719523,The ASAS-SN Catalog of Variable Stars: II,true,true,false,2019-04-16 09:57:04 UTC,2021-08-05 16:54:10 UTC,1.90929672324996992E18,,,,,,TIC 120524565,8.416,1.188,1.63604251580511002E18,Gaia EDR3 1909296723249974912,1.90929672324996992E18,619338950,2016,337.253740872961,0.028039705,40.3155000225077,0.034671452,1.25424961326993,0.05228032,23.990854,8.415754,-7.62912197932839,0.03378522,-3.55266323007293,0.044761777,-0.25327277,-0.02429976,-0.3558046,-0.15307958,0.15184964,-0.22982845,0.006008525,0.0033053623,-0.15375309,-0.48396075,874,874,870,4,7.6124372,17241.123,0.48596627,323.04315,31,false,1.1512876,,,,,,,,99,24,0.068287015,110,71,11,0.17496033,178.10443,2,0,1.1880869,,,,,,,,,false,869,1.0197331168961E7,142962.98,71.32847,8.16615,88,252538.535249733,19586.1,12.893764,11.832723,101,1.91036514398146E7,740259.7,25.806688,6.5451045,0,88,0,92,0,1.8981624,5.287618,3.6665726,1.6210456,,,0,,,,95.5886434706806,-14.875468085024,358.930257028612,45.306505065263,22290091+4018556,337.253827,40.315456,0.29,0.29,0.0,3.562,2.866,2.257,0.232,0.172,0.258,DCD,333,0,2451093.7754,0.530198
14,0.003022947494258,2.52399101751E-4,e01d6be3-179d-56ad-81e6-0e6da725c539,109201,ASASSN-V J214127.04+762311.4,AM Cep,325.36266,76.38651,112.44551,17.55636,13.33,3.66,327.9905762,M,1.0,0.03,0.99,2457972.82961,2.2834411512895401E18,9.357762,0.041491,14.099488,0.190176,7.755163,0.096838,6.344326,1.4977,0.0693,21.6262,9.403,0.093,9.71,0.096,97.7000538972937,655.772827,J214127.02+762311.4,3.323,0.226,2.174,0.206,1.397,0.22,-1.036,,-1.257,,-0.105,0.298,-0.956,0.007,1.926,0.221,0.851,1.612762E7,12.696,0.302,14.385,0.064,14.052,0.145,10.775,0.085,,,1.689,0.735,0.193655244733603,-0.133780156319262,0.971905610623975,The ASAS-SN Catalog of Variable Stars: II,true,true,false,2019-04-16 09:55:18 UTC,2021-08-05 16:48:02 UTC,2.2834411512895401E18,,,,,,TIC 467330596,13.517,0.904,1.63604251580511002E18,Gaia EDR3 2283441151289540864,2.2834411512895401E18,196936290,2016,325.362937725148,0.06779727,76.3865156744693,0.06671963,1.49774911645474,0.06925631,21.626173,13.5165,9.40319260064324,0.092680454,9.70957037400682,0.095894225,-0.15249477,0.16124283,0.059075657,-0.35844657,-0.020798778,-0.3219978,0.061223835,-0.25083336,-0.019881317,-0.22158374,285,285,280,5,-2.2573876,9595.747,0.71162033,340.9892,31,false,1.1012183,,,,,,,,32,23,0.14693691,39,11,1,0.05370619,57.45607,5,0,0.90413344,,,,,,,,,false,318,3402841.99738831,129752.05,26.225729,9.357762,34,31305.5589425599,5482.843,5.709731,14.099488,35,6267483.47557442,558577.94,11.2204275,7.7551627,0,0,0,0,0,1.8510377,6.3443255,4.741726,1.6025996,,,0,,,,112.445558998523,17.5563181625004,53.7239668224295,70.894991830433,21412708+7623113,325.362847,76.386482,0.29,0.29,90.0,3.323,2.174,1.397,0.226,0.206,0.22,DCD,333,0,2451857.635,0.187797
15,0.002771054760169,1.93911984982E-4,0d4e2c83-f54b-5508-b591-5ef3942e0d4d,95435,ASASSN-V J212004.86+775043.7,GH Cep,320.02026,77.84547,112.6831,19.42489,14.23,4.72,385.7186056,M,1.0,0.13,0.93,2457845.10626,2.28457632403001011E18,9.467009,0.045363,14.481284,0.213508,8.060799,0.134208,6.420486,1.1842,0.0547,21.6393,6.212,0.066,0.51,0.061,35.9014000152972,822.919067,J212004.63+775044.1,3.037,0.226,2.222,0.208,1.624,0.228,-0.712,,-0.864,,-0.307,0.288,-1.208,0.006,1.413,0.152,0.901,1.6132378E7,,,,,,,10.497,0.597,7.948,0.492,,0.318,0.16133777699386,-0.135281280392318,0.977583294093191,The ASAS-SN Catalog of Variable Stars: II,true,true,false,2019-04-16 09:55:20 UTC,2021-08-05 16:53:17 UTC,2.28457632832667008E18,,,,,,TIC 265307896,6.233,1.331,1.63604251580511002E18,Gaia EDR3 2284576328326671488,2.28457632832667008E18,429305926,2016,320.019463481084,0.051674232,77.8455318963907,0.052057073,1.18423771060221,0.054726146,21.639341,6.2329035,6.21201571863062,0.06602712,0.50985033532601,0.06055953,-0.0032027294,0.18945013,-0.19668134,-0.06081738,0.19056194,-0.09536823,-0.21463852,-0.18469596,-0.031507358,-0.021687787,358,358,349,9,8.27745,10626.61,0.6390161,367.89563,31,false,1.130951,,,,,,,,40,26,0.09265207,48,39,3,0.3677894,25.57622,7,0,1.3305664,,,,,,,,,false,397,3077111.85768251,128326.29,23.978811,9.467009,34,22024.3530601736,4330.6826,5.085654,14.481284,40,4729757.74219532,584414.5,8.093156,8.060799,4,0,0,0,0,1.5442344,6.4204855,5.0142756,1.40621,,,0,,,,112.683023749248,19.4250551930637,58.6415303671758,71.9391512671329,21200465+7750438,320.019397,77.84552,0.3,0.29,0.0,3.037,2.222,1.624,0.226,0.208,0.228,DCD,333,0,2451669.9369,0.678446
17,0.00265,1.42480426789E-4,4f0387f2-66a1-5f7d-a31a-ad09505e8724,121589,ASASSN-V J091331.80-232331.3,IQ Hya,138.38251,-23.39202,251.54104,17.07204,11.0,2.39000010490417,393.6202592,M,0.994000017642975,0.029999999329448,0.990000009536743,2457874.609,5.65167544679535E18,9.183806,0.024544,11.437178,0.082967,8.113983,0.075251,3.323195,0.753899991512299,0.026699999347329,28.2383003234863,-0.586000025272369,0.026000000536442,5.78900003433228,0.023000000044703,21.9225087971138,1258.07166,J091331.85-232331.2,5.36700010299683,0.020999999716878,3.74699997901916,0.222000002861023,2.71000003814697,0.247999995946884,-0.488999992609024,,-0.742999970912933,,-0.021999999880791,0.11599999666214,-0.136999994516373,0.009999999776483,2.65700006484985,0.254000008106232,0.115000002086163,4.5740268E7,11.5609998703003,0.312000006437302,16.5979995727539,0.441000014543533,13.9060001373291,0.421000003814697,10.3640003204346,0.006000000052154,,,5.03700017929077,0.149000003933906,-0.686150469984227,0.609567552440241,-0.397020064420475,The ASAS-SN Catalog of Variable Stars: II,true,true,false,2019-04-16 09:57:04 UTC,2021-08-05 18:09:55 UTC,5.65167544679535E18,,,,,,TIC 229859322,5.81899976730347,0.912000000476837,1.63604251580511002E18,Gaia EDR3 5651675446795352320,5.65167544679535E18,1106189174,2016,138.382692055511,0.02106178,-23.3920470563853,0.020315722,0.753932288277925,0.026698885,28.238342,5.8185873,-0.585585825411734,0.025768023,5.78904566962931,0.02274089,0.103504986,-0.05970804,-0.19168507,0.06836104,0.05065601,0.048677202,-0.41916427,0.1834869,-0.12118751,0.21764265,351,351,351,0,-2.332822,1905.2604,0.21487427,48.77973,31,false,1.2279205,,,,,,,,40,20,0.037887935,44,23,0,0.17000163,32.921448,8,0,0.911709,,,,,,,,,false,371,3994148.3510927,89721.37,44.517246,9.183806,42,363534.629513361,27764.066,13.09371,11.437178,42,4503651.37597586,311748.25,14.446437,8.113983,0,0,0,0,0,1.2185792,3.3231945,2.2533712,1.0698233,,,0,,,,251.541165502722,17.072150673844,149.67608235146,-37.3534466644413,09133183-2323313,138.382658,-23.392048,0.11,0.11,90.0,5.367,3.747,2.71,0.021,0.222,0.248,ADD,133,0,2451507.8494,0.49929
