source_id,phot_g_mean_mag,phot_rp_mean_mag,phot_bp_mean_mag,parallax,original_ext_source_id,j_m,ks_m
5.28321161552803E+018,15.50286,14.376156,16.839407,0.074966837062899,06212995-6658032,12.554,11.049
5.28322178601184E+018,15.6786785,14.673508,16.66459,-0.014252004868276,06134387-6718585,13.289,12.2
5.28322483972385E+018,16.006838,14.682864,18.043493,0.066230731817902,06144306-6718555,12.463,10.396
5.28322498146738E+018,15.105094,13.9193945,16.582249,-0.029907679786955,06150709-6717186,12.101,10.536
5.28322828000221E+018,15.23221,14.109022,16.523075,-0.003431141765923,06150149-6715075,12.283,10.891
5.28323178469531E+018,15.471296,14.2496395,17.157635,0.002972443110764,06155720-6706022,12.45,10.674
5.28323391499939E+018,15.2828045,14.095225,16.805473,0.019107329328954,06114783-6717204,12.337,11.137
5.2832381068874E+018,15.329608,14.037923,17.361765,0.027257799041099,06113839-6713057,12.084,10.872
5.28324089002594E+018,15.424511,14.246489,16.842428,-0.007883332324526,06135573-6703448,12.451,11.264
5.28324899892407E+018,15.297007,13.724381,16.835642,-0.083035413347776,06170531-6652273,11.521,10.302
5.28325288157589E+018,15.172448,13.890343,17.194733,-0.115993342454922,06193260-6702072,11.902,9.978
5.28325635190941E+018,15.11859,13.859716,16.879074,-0.03145239309792,06183480-6657322,11.963,10.672
5.28328792850125E+018,15.352042,14.155518,16.843922,-0.024236412089838,06254354-6747397,12.604,10.621
5.28328799722073E+018,15.337123,14.084589,17.121443,-0.056615628475451,06255169-6745529,12.115,10.307
5.28329528148529E+018,15.651705,14.434151,17.39129,-0.001930241037152,06265100-6740234,12.566,10.303
5.28329572816189E+018,15.198693,14.028367,16.660042,0.050973619625688,06271249-6737260,12.07,10.495
5.28330297806657E+018,15.558221,14.370303,17.03463,0.011128254848499,06235694-6743060,12.622,11.449
5.28331002181287E+018,15.054873,13.903221,16.450592,-0.022991666165435,06254175-6728186,12.285,10.693
5.28332551805477E+018,15.834644,14.73111,17.048235,-0.000986902611304,06300245-6724048,13.263,12.084
5.28337389656634E+018,14.956211,13.683985,16.614046,-0.01672706236036,06241369-6718279,11.896,10.634
5.28339715810866E+018,15.074315,13.848812,16.766449,-0.020919707809364,06300789-6656452,11.826,10.103
5.28340591984181E+018,15.184337,14.010948,16.589613,0.047726737842061,06323211-6646138,12.309,11.117
5.28346793916868E+018,14.881477,13.78074,16.10321,-0.034575505104021,06411990-6635528,11.994,10.643
5.2836414902096E+018,15.54757,14.432645,16.860315,-0.026586867737797,06251241-6633303,12.367,10.911
5.28365296636214E+018,15.248888,14.182231,16.382147,-0.035357949717664,06270345-6623251,12.604,11.451
5.28366403019786E+018,14.953238,13.812164,16.32446,-0.069259593240009,06253978-6622452,11.727,10.352
5.28367598738734E+018,14.871521,13.670113,16.472738,-0.127326237965369,06292581-6615042,12.025,10.786
5.28369536627965E+018,15.360285,14.174779,16.829924,0.06407006027765,06284359-6603033,12.409,11.214
5.28370116877349E+018,15.480888,14.313012,16.902678,0.046514455589772,06321520-6554504,12.535,11.344
5.28385180617447E+018,15.476947,14.163459,17.439985,0.029595120049505,06020428-6744295,12.204,10.927
5.28385266516785E+018,15.392396,14.272396,16.636425,0.058709390142914,06000915-6749558,12.764,11.611
5.28385706321446E+018,14.789033,13.614221,16.238316,-0.098640293012633,06025868-6744263,12.025,10.371
5.28385905177925E+018,15.165305,13.9384165,16.797323,0.012789812200565,06035162-6736350,12.099,10.345
5.28385915915825E+018,15.661918,14.653424,16.704988,0.033295507225988,06042282-6735143,13.2,12.132
5.28386390080222E+018,15.258145,14.079023,16.689184,0.022611957648305,06050546-6730065,12.314,11.114
5.28386599674634E+018,15.234629,14.146349,16.452776,0.027898873937704,06003112-6742574,12.391,10.959
5.28387317793129E+018,14.975209,13.804137,16.445227,-0.040909442345242,06025295-6727406,12.064,10.897
5.28387527387545E+018,15.515608,14.3341,16.972383,-0.023341304432096,06035030-6729299,12.297,10.662
5.2838755487537E+018,16.024984,14.677633,18.180176,0.01426054689548,06034185-6728303,12.462,10.273
5.28387633902734E+018,16.266731,14.755722,18.144169,0.047304773144323,06035845-6726472,13.523,10.81
5.28388482588417E+018,15.174189,13.997033,16.61947,-0.043515352865063,06055885-6728541,12.115,10.629
5.28388699054787E+018,15.393892,14.065911,17.41874,-0.003877707971778,06080120-6721262,12.033,10.815
5.28388757466342E+018,15.346512,14.141716,17.003334,-0.008325902269535,06080477-6720324,12.195,10.452
5.28388774646214E+018,15.185119,13.995148,16.660988,-0.128221155619766,06084047-6718144,12.236,11.054
5.28388795262064E+018,15.691661,14.617539,16.839895,-0.06219139429295,06061328-6725555,12.759,11.408
5.28389183527099E+018,15.223528,14.009577,16.876629,-0.069606498664368,06082426-6715204,12.012,10.381
5.28389320966059E+018,15.364148,14.2435875,16.60285,-0.054188375832004,06095337-6716283,12.37,10.972
5.28389705364515E+018,15.622605,14.5546,16.792894,-0.053683427271326,06090753-6713541,12.984,11.91
5.28389712667073E+018,15.251235,14.039323,16.814924,-0.094612332083846,06091040-6712438,12.175,10.368
5.28390008160776E+018,15.739627,14.747785,16.822187,0.043903303544992,06103773-6706094,13.426,12.289
5.28390021473878E+018,15.325089,14.177378,16.657103,-0.003615543139553,06101355-6706132,12.507,10.958
5.28390059700378E+018,15.784705,14.767278,16.901846,-0.103998744431844,06110409-6704000,13.305,12.175
5.2839034445565E+018,15.19522,14.01015,16.703714,0.07192765775881,06074710-6713593,11.97,10.446
5.28390396425863E+018,15.44934,14.384461,16.639221,-0.032358128059335,06083507-6711508,12.76,11.557
5.28390643815965E+018,15.613118,14.374471,17.305609,0.010773946312387,06070840-6710215,12.518,10.758
5.2839101490112E+018,15.190691,13.965564,16.8393,-0.100377827159599,06090015-6708330,12.011,10.303
4.6520500910473E+018,15.539304,14.248725,17.465904,-0.074141815188571,05100142-7036129,12.236,11.016
4.65205050336405E+018,15.786604,14.83807,16.714716,-0.036377047386832,05091316-7037523,13.507,12.476
4.65205053772374E+018,16.1042,14.913636,17.614428,-0.137369716447063,05084982-7037372,13.185,11.892
4.65205112183928E+018,15.465471,14.273488,16.91032,-0.023662100505225,05090852-7034108,12.634,10.865
4.65205149979825E+018,14.886848,13.670662,16.520815,-0.045335464331602,05115018-7040537,11.899,10.171
4.65205304165508E+018,15.762521,14.548968,17.320835,-0.07308184935708,05110662-7035104,12.693,11.464
4.65205369882146E+018,15.594196,14.331004,17.267113,-0.192641184456097,05120340-7035273,12.419,11.147
4.6520543516564E+018,15.804449,14.810847,16.745201,-0.001636133367883,05115196-7032065,13.426,12.394
4.65205462653428E+018,15.716495,14.499891,17.079302,-0.051927473037107,05113093-7033593,12.752,11.673
4.65205548119669E+018,15.191186,14.00779,16.561974,-0.063636366756495,05105710-7029344,12.249,11.12
5.28391080184611E+018,15.225236,13.928914,17.1975,-0.027426633831829,06095472-6704554,11.982,10.759
5.2839114890409E+018,15.881668,14.73988,17.412876,0.070245168760253,06092548-6705302,13.002,11.535
5.28391269163162E+018,15.392463,14.157233,17.074392,-0.071785893995135,06110623-6700485,12.318,10.513
5.28391410038082E+018,15.599756,14.277448,17.727957,-0.057019705151556,06111145-6656370,12.112,10.899
5.28391897946527E+018,15.347433,14.117626,17.067923,-0.087254986065381,06000469-6731139,12.249,10.385
5.28392131592771E+018,15.404196,14.063735,17.63129,-0.042115031768607,06015999-6723418,12.044,10.766
5.28392344192303E+018,15.222418,14.056723,16.591396,0.003117796618474,06002473-6725109,12.386,10.716
5.2839260575716E+018,15.492616,14.394719,16.711,-0.044099558724401,06021298-6717463,12.904,11.426
5.28392753504046E+018,15.497401,14.389929,16.714954,0.041994000130874,06031211-6720223,12.741,11.261
5.28393110845333E+018,15.364017,14.223621,16.672068,0.058065088913977,06043826-6710512,12.607,11.468
5.2839316925689E+018,15.213741,13.917497,17.140781,0.018363441456546,06053178-6707410,12.013,10.065
5.28393828963827E+018,15.37517,14.092258,17.22006,0.010800929166362,06010740-6713562,12.164,10.25
5.28394234408734E+018,15.509072,14.262447,17.241377,-0.037862093632494,06004973-6710113,12.419,10.667
5.48206489047036E+018,15.67857,14.631534,16.796007,-0.043736004361814,06054246-6109307,13.092,12.004
4.65188169398035E+018,15.732106,14.560393,17.16599,-0.032507159415622,05222016-7052232,12.814,11.653
4.65188172834007E+018,15.080022,13.925995,16.43516,-0.051127672615867,05221995-7051395,12.231,10.61
4.65188210629732E+018,15.794705,14.7735405,16.812082,-0.039358671529767,05234106-7052143,13.304,12.251
4.65188244989459E+018,15.569763,14.2551,17.517797,-0.061202511864156,05230468-7050291,12.231,11.02
4.65188251861413E+018,15.889393,14.623589,17.614199,-0.050716717310468,05233986-7050580,12.763,11.545
4.65188310272961E+018,15.717749,14.426586,17.5179,0.029113180418843,05225329-7050381,12.483,11.228
4.65188416788284E+018,14.996324,13.842405,16.369045,-0.057772016245885,05212330-7104193,12.143,10.573
4.65188564535136E+018,15.297336,14.115174,16.773058,-0.076787592539444,05200284-7059203,12.199,10.631
4.65188626382665E+018,15.628834,14.341157,17.4598,-0.029951460784756,05202548-7055270,12.515,11.277
4.65188698538131E+018,15.290891,14.114674,16.690283,-0.136866349202939,05213025-7055522,12.38,11.214
4.65188732897866E+018,15.5371,13.949558,17.420341,-0.139146021652933,05212484-7053464,11.904,10.657
4.65188750077732E+018,15.592239,14.574476,16.64366,-0.032533940986577,05205646-7056145,13.08,12.021
4.65188797747026E+018,15.541227,14.424597,16.788593,-0.066593929875357,05202118-7051524,12.834,11.652
4.65188884080695E+018,15.594029,14.435548,16.990812,-0.013070184409341,05193561-7057444,12.733,11.558
4.65188969545705E+018,15.946988,14.832581,17.167511,0.051350395560708,05191532-7056011,13.005,10.816
4.65189021085319E+018,16.230066,15.028112,17.690678,0.038474729749552,05191629-7053580,13.269,11.614
4.65189059315343E+018,15.909143,14.556577,17.621592,-0.098287468017462,05183580-7050428,12.618,10.649
4.65189279217719E+018,14.514809,13.28313,16.098324,-0.093729183850246,05185259-7044592,11.418,10.209
4.65189289091313E+018,15.912196,14.922194,16.881523,-0.092417577103306,05185596-7044231,13.513,12.502
4.65189310141623E+018,15.343685,14.09671,17.09701,-0.079528005578911,05214983-7051527,12.278,11.054
4.65189512864052E+018,15.55732,14.2746935,17.418947,-0.052090303397445,05204465-7044133,12.263,10.244
4.65189564403664E+018,15.50817,14.428584,16.685041,0.000380015632935,05212493-7044020,12.894,11.754
4.65189636559077E+018,15.306219,14.022394,17.206453,0.060886498328944,05210449-7044061,12.02,10.111
4.65189653738979E+018,15.590217,14.460162,16.837933,-0.046527399968033,05204848-7044082,12.802,11.263
4.65189684662712E+018,15.856162,14.7627945,17.058294,-0.085007213866412,05212538-7041597,13.15,12.017
4.65189739638332E+018,15.860855,14.646511,17.39104,-0.030895084139132,05201502-7047261,13.216,10.988
4.65189753382227E+018,15.712621,14.470799,17.34864,-0.099133268607067,05202701-7046354,12.507,10.797
4.65189777434035E+018,15.69229,14.680913,16.743122,-0.035845566047395,05195763-7045086,13.249,12.177
4.65189811363228E+018,15.654393,14.373157,17.552788,0.018628223552685,05201258-7042554,12.399,10.39
4.65189828973632E+018,15.578792,14.433847,16.878523,-0.000687854315789,05194543-7042037,12.865,11.669
4.65189914442968E+018,15.578436,14.468426,16.670525,0.015052663164801,05193617-7040373,13.003,11.804
4.65189914872943E+018,15.366969,14.251958,16.56159,-0.009142097673162,05194023-7040490,12.505,10.983
4.65189918308916E+018,15.944389,14.748744,17.402224,0.067465780438874,05193745-7040311,13.023,11.77
4.6518999046437E+018,15.494383,14.252574,16.936916,0.040138432922838,05195440-7040336,12.32,10.565
4.65190062619817E+018,15.888893,14.638657,17.491194,-0.012957805303017,05200374-7035217,12.899,10.789
4.65190141647212E+018,15.772919,14.64441,17.041487,-0.114565596097358,05194513-7035036,13.072,11.899
4.65190182879083E+018,15.459523,14.151727,17.487736,-0.100798025308988,05251066-7053385,12.107,10.876
4.6519026877842E+018,16.16144,14.693312,18.277252,-0.215928884751349,05245353-7048321,12.419,11.285
4.6519027908634E+018,15.682176,14.42477,17.274113,-0.045750410519186,05245100-7047114,12.547,11.278
4.65190296266204E+018,15.38899,14.293871,16.627485,-0.032425719779337,05241729-7049211,12.309,10.89
4.65190303138178E+018,15.318647,14.18625,16.540094,-0.025030431790258,05243341-7049027,12.465,11.093
4.65190344369839E+018,15.797312,14.536576,17.303179,0.016878391390618,05243527-7047096,12.97,11.785
4.65190402781405E+018,15.853871,14.603726,17.143497,-0.178052655157645,05251764-7047507,12.932,11.8
4.65190512732553E+018,15.454338,14.215674,17.210781,-0.054583930706123,05242980-7045029,12.285,10.503
4.65190529912421E+018,14.765367,13.212792,17.719704,-0.191724246862809,05243313-7042361,10.791,9.43
4.65190533348392E+018,15.969603,14.832111,17.21261,0.002215600903215,05241654-7043505,13.211,12.071
4.65190571144075E+018,15.728326,14.525972,17.183521,-0.026678031327437,05243848-7041244,12.703,11.069
4.65190619247735E+018,15.977688,14.992108,16.908197,-0.118682107608399,05234073-7047081,13.6,12.609
4.65190619247737E+018,14.880956,13.730458,16.291662,0.015751401045746,05234776-7047540,12.05,10.852
4.65190687532662E+018,15.817743,14.650519,17.116106,-0.052906357906769,05235798-7043546,13.058,11.889
4.65190715454996E+018,16.115696,15.152736,17.014591,-0.041227142003822,05233276-7041574,13.777,12.756
4.6519080135201E+018,16.798607,15.338762,18.046013,-0.400292979113956,05225914-7040550,13.275,10.988
4.65190907869506E+018,16.063227,14.94927,17.15594,0.052217254781456,05240418-7037448,13.358,12.179
